##=====================---------------------------------=======================#
##===----                  pre-anniversary wordsigns                    ----===#
##=====================---------------------------------=======================#
#  from gregg.angelfishy.net
#    word signs summaried in a table from the pre-anniversary manual
#    also from pre-aniversary reporting book

# english   = dictionary spelling
# gregg     = specialized gregg outline spelling
# rf        = reference work
#    pm     : pre-anniversary manual
#    pr     : pre-anniversary reporters manual
#    sd     : simplified dictionary
# pgs       = page in reference work
# t         = w=wordsign, p=phrase, -=normal
# d         = difficulty to write (simple, moderate, hard)
# s         = simplification (*=made harder by simplified, -=consistent)
# -
# -
# co        = commonality (01=top100, 05=top500, 10=top1000, 50=top5000)
#

#-------english-------- | --------gregg--------- | rf pgs t |  d  s  -  -  co  |
skill                   | >.s.k.l                | pb 082 - |  s  *  -  -  --  |
more                    | >.m                              |  3   s   -   -    |





.                       | >.up                             |  4   -   -   -  |

share                   | >.sh.A.r               | ds 232 - |  -  -  -  -  --  |

short                   | >.sh                   | ds 233 - |  -  -  -  -  --  |
shortage                | >.sh.>.j               | ds 233 - |  -  -  -  -  --  |
shortcake               | >.sh.>.k.a.k           | ds 233 - |  -  -  -  -  --  |
shortchange             | >.sh.>.ch.n.A.j        | ds 233 - |  -  -  -  -  --  |
shortcoming             | >.sh.>.c.m             | ds 233 - |  -  -  -  -  --  |
shortcomings            | >.sh.>.c.m.>.z         | ds 233 - |  -  -  -  -  --  |
shorten                 | >.sh.>.n               | ds 233 - |  -  -  -  -  --  |
shorter                 | >.sh.>.r               | ds 233 - |  -  -  -  -  --  |
shortest                | >.sh.>.s.t             | ds 233 - |  -  -  -  -  --  |
shorthand               | >.sh.>.nd              | ds 233 - |  -  -  -  -  --  |
shortness               | >.sh.>.n.E.z           | ds 233 - |  -  -  -  -  --  |
should                  | >.sh.d                 | ds 233 - |  -  -  -  -  --  |




#MA                      | >.m.a                  |
#MAD                     | >.m.a.d                |
#MAM                     | >.m.a.m                |
#MANK                    | >.m.a.nk               |
#MACH                    | >.m.a.ch               |
#MATN                    | >.m.a.tn               |
#MANT                    | >.m.a.nt               |
#MAF                     | >.m.a.f                |
#MAP                     | >.m.a.p                |
#MAR                     | >.m.a.r                |
#MAK                     | >.m.a.k                |
#AM                      | >.a.m                  |

#DA                      | >.d.a                  |
#DAD                     | >.d.a.d                |
#DAM                     | >.d.a.m                |
#DANK                    | >.d.a.nk               |
#DACH                    | >.d.a.ch               |
#DATN                    | >.d.a.tn               |
#DANT                    | >.d.a.nt               |
#DAF                     | >.d.a.f                |
#DAP                     | >.d.a.p                |
#DAR                     | >.d.a.r                |
#DAK                     | >.d.a.k                |
#AD                      | >.a.d                  |

#NGA                     | >.nk.a                 |
#NGAD                    | >.nk.a.d               |
#NGAM                    | >.nk.a.m               |
#NGANK                   | >.nk.a.nk              |
#NGACH                   | >.nk.a.ch              |
#NGATN                   | >.nk.a.tn              |
#NGANT                   | >.nk.a.nt              |
#NGAF                    | >.nk.a.f               |
#NGAP                    | >.nk.a.p               |
#NGAR                    | >.nk.a.r               |
#NGAK                    | >.nk.a.k               |
#ANG                     | >.a.nk                 |

#CHA                     | >.ch.a                 |
#CHAD                    | >.ch.a.d               |
#CHAM                    | >.ch.a.m               |
#CHANK                   | >.ch.a.nk              |
#CHACH                   | >.ch.a.ch              |
#CHATN                   | >.ch.a.tn              |
#CHANT                   | >.ch.a.nt              |
#CHAF                    | >.ch.a.f               |
#CHAP                    | >.ch.a.p               |
#CHAR                    | >.ch.a.r               |
#CHAK                    | >.ch.a.k               |
#ACH                     | >.a.ch                 |


#RA                      | >.r.a                  |
#RAD                     | >.r.a.d                |
#RAM                     | >.r.a.m                |
#RANK                    | >.r.a.nk               |
#RACH                    | >.r.a.ch               |
#RATN                    | >.r.a.tn               |
#RANT                    | >.r.a.nt               |
#RAF                     | >.r.a.f                |
#RAP                     | >.r.a.p                |
#RAR                     | >.r.a.r                |
#RAK                     | >.r.a.k                |
#AR                      | >.a.r                  |

#FA                      | >.f.a                  |
#FAD                     | >.f.a.d                |
#FAM                     | >.f.a.m                |
#FANK                    | >.f.a.nk               |
#FACH                    | >.f.a.ch               |
#FATN                    | >.f.a.tn               |
#FANT                    | >.f.a.nt               |
#FAF                     | >.f.a.f                |
#FAP                     | >.f.a.p                |
#FAR                     | >.f.a.r                |
#FAK                     | >.f.a.k                |
#AF                      | >.a.f                  |

#PA                      | >.p.a                  |
#PAD                     | >.p.a.d                |
#PAM                     | >.p.a.m                |
#PANK                    | >.p.a.nk               |
#PACH                    | >.p.a.ch               |
#PATN                    | >.p.a.tn               |
#PANT                    | >.p.a.nt               |
#PAF                     | >.p.a.f                |
#PAP                     | >.p.a.p                |
#PAR                     | >.p.a.r                |
#PAK                     | >.p.a.k                |
#AP                      | >.a.p                  |

#TNA                     | >.tn.a                 |
#TNAD                    | >.tn.a.d               |
#TNAM                    | >.tn.a.m               |
#TNANK                   | >.tn.a.nk              |
#TNACH                   | >.tn.a.ch              |
#TNATN                   | >.tn.a.tn              |
#TNANT                   | >.tn.a.nt              |
#TNAF                    | >.tn.a.f               |
#TNAP                    | >.tn.a.p               |
#TNAR                    | >.tn.a.r               |
#TNAK                    | >.tn.a.k               |
#ATN                     | >.a.tn                 |

#NTA                     | >.nt.a                 |
#NTAD                    | >.nt.a.d               |
#NTAM                    | >.nt.a.m               |
#NTANK                   | >.nt.a.nk              |
#NTACH                   | >.nt.a.ch              |
#NTATN                   | >.nt.a.tn              |
#NTANT                   | >.nt.a.nt              |
#NTAF                    | >.nt.a.f               |
#NTAP                    | >.nt.a.p               |
#NTAR                    | >.nt.a.r               |
#NTAK                    | >.nt.a.k               |
#ANT                     | >.a.nt                 |


calc                    | >.k.A.l.k              |
this                    | >.t.s                  |

ray                     | >.r.A
late                    | >.l.a.t
task                    | >.t.A.s.k
rob                     | >.r.o.b
add                     | >.a.d
name                    | >.n.a.m
save                    | >.s.a.v
say                     | >.s.a
as                      | >.a.s
project                 | >.p.r.j.k
table                   | >.t.a.b
laene                   | >.l.ae.n
laine                   | >.l.ai.n
appreciate              | >.a.p.r.e.sh.ai.t
apprecaete              | >.a.p.r.e.sh.ae.t
apprecite               | >.a.p.r.e.sh.i.t




California              | >.k.A.l
hourly                  | >.r.E


instruction             | >.n.s.t.r.k.sh   

