##=====================---------------------------------=======================#
##===----                  pre-anniversary wordsigns                    ----===#
##=====================---------------------------------=======================#
#  from gregg.angelfishy.net
#    word signs summaried in a table from the pre-anniversary manual
#    also from pre-aniversary reporting book

# english   = dictionary spelling
# gregg     = specialized gregg outline spelling
# rf        = reference work
#    pm     : pre-anniversary manual
#    pr     : pre-anniversary reporters manual
#    sd     : simplified dictionary
# pgs       = page in reference work
# t         = w=wordsign, p=phrase, -=normal
# d         = difficulty to write (simple, moderate, hard)
# s         = simplification (*=made harder by simplified, -=consistent)
# -
# -
# co        = commonality (01=top100, 05=top500, 10=top1000, 50=top5000)
#

#-------english-------- | --------gregg--------- | rf pgs t |  d  s  -  -  co  |
skill                   | >.s.k.l                | pb 082 - |  s  *  -  -  --  |
rain                    | >.r.A.n                | a5 003 - |  -  -  -  -  --  |
raining                 | >.r.A.n.>              | a5 003 - |  -  -  -  -  --  |
rainy                   | >.r.A.n.e              | a5 003 - |  -  -  -  -  --  |
ran                     | >.r.a.n                | a5 003 - |  -  -  -  -  --  |
rare                    | >.r.A.r                | a5 003 - |  -  -  -  -  --  |
rear                    | >.r.E.r                | a5 003 - |  -  -  -  -  --  |
tail                    | >.t.A.l                | a5 003 - |  -  -  -  -  --  |
tale                    | >.t.A.l                | a5 003 - |  -  -  -  -  --  |
tan                     | >.t.a.n                | a5 003 - |  -  -  -  -  --  |
team                    | >.t.E.m                | a5 003 - |  -  -  -  -  --  |
train                   | >.t.r.A.n              | a5 003 - |  -  -  -  -  --  |
training                | >.t.r.A.n.>            | a5 003 - |  -  -  -  -  --  |
turkey                  | >.t.E.r.k.e            | a5 003 - |  -  -  -  -  --  |

attack                  | >.a.t.a.k              | a5 003 - |  -  -  -  -  --  |
dig                     | >.d.e.g                | a5 003 - |  -  -  -  -  --  |
dread                   | >.d.r.e.d              | a5 003 - |  -  -  -  -  --  |
greet                   | >.g.r.e.t              | a5 003 - |  -  -  -  -  --  |
greeting                | >.g.r.e.t.>            | a5 003 - |  -  -  -  -  --  |
headache                | >.>.e.d.a.k            | a5 003 - |  -  -  -  -  --  |
hurried                 | >.>.e.r.e.d            | a5 003 - |  -  -  -  -  --  |
lading                  | >.l.a.d.>              | a5 003 - |  -  -  -  -  --  |
lady                    | >.l.A.d.e              | a5 003 - |  -  -  -  -  --  |
laid                    | >.l.a.d                | a5 003 - |  -  -  -  -  --  |
late                    | >.l.a.t                | a5 003 - |  -  -  -  -  --  |
lead                    | >.l.e.d                | a5 003 - |  -  -  -  -  --  |
leading                 | >.l.e.d.>              | a5 003 - |  -  -  -  -  --  |
led                     | >.l.e.d                | a5 003 - |  -  -  -  -  --  |
married                 | >.m.a.r.e.d            | a5 003 - |  -  -  -  -  --  |
rate                    | >.r.A.t                | a5 003 - |  -  -  -  -  --  |
rating                  | >.r.A.t.>              | a5 003 - |  -  -  -  -  --  |
read                    | >.r.E.d                | a5 003 - |  -  -  -  -  --  |
reading                 | >.r.E.d.>              | a5 003 - |  -  -  -  -  --  |
ready                   | >.r.E.d.e              | a5 003 - |  -  -  -  -  --  |
red                     | >.r.E.d                | a5 003 - |  -  -  -  -  --  |
retail                  | >.r.e.t.a.l            | a5 003 - |  -  -  -  -  --  |
rid                     | >.r.e.d                | a5 003 - |  -  -  -  -  --  |
take                    | >.t.a.k                | a5 003 - |  -  -  -  -  --  |
taking                  | >.t.a.k.>              | a5 003 - |  -  -  -  -  --  |
ticket                  | >.t.e.k.e.t            | a5 003 - |  -  -  -  -  --  |
treat                   | >.t.r.E.t              | a5 003 - |  -  -  -  -  --  |
treating                | >.t.r.E.t.>            | a5 003 - |  -  -  -  -  --  |

career                  | >.c.r.e.r              | a5 003 - |  -  -  -  -  --  |
eager                   | >.e.g.r                | a5 003 - |  -  -  -  -  --  |
error                   | >.E.r.r                | a5 003 - |  -  -  -  -  --  |
mayor                   | >.m.a.r                | a5 003 - |  -  -  -  -  --  |
metal                   | >.m.e.t.l              | a5 003 - |  -  -  -  -  --  |
nickel                  | >.n.e.k.l              | a5 003 - |  -  -  -  -  --  |
taken                   | >.t.a.k.n              | a5 003 - |  -  -  -  -  --  |

## page 04 #####################################################################
data                    | >.d.a.t.a              | a5 003 - |  -  -  -  -  --  |
deed                    | >.d.e.d                | a5 003 - |  -  -  -  -  --  |
enemy                   | >.e.n.e.m.e            | a5 003 - |  -  -  -  -  --  |
linen                   | >.l.E.n.e.n            | a5 003 - |  -  -  -  -  --  |
main                    | >.m.a.n                | a5 003 - |  -  -  -  -  --  |
man                     | >.m.a.n                | a5 003 - |  -  -  -  -  --  |
mean                    | >.m.e.n                | a5 003 - |  -  -  -  -  --  |
meaning                 | >.m.e.n.>              | a5 003 - |  -  -  -  -  --  |

creek                   | >.k.r.e.k              | a5 003 - |  -  -  -  -  --  |
guilty                  | >.g.e.l.t.e            | a5 003 - |  -  -  -  -  --  |
kill                    | >.k.E.l                | a5 003 - |  -  -  -  -  --  |
lack                    | >.l.a.k                | a5 003 - |  -  -  -  -  --  |
lake                    | >.l.a.k                | a5 003 - |  -  -  -  -  --  |
league                  | >.l.e.g                | a5 003 - |  -  -  -  -  --  |
leg                     | >.l.e.g                | a5 003 - |  -  -  -  -  --  |
liquor                  | >.l.e.k.r              | a5 003 - |  -  -  -  -  --  |
rag                     | >.r.a.g                | a5 003 - |  -  -  -  -  --  |
reckon                  | >.r.e.k.n              | a5 003 - |  -  -  -  -  --  |
track                   | >.t.r.a.k              | a5 003 - |  -  -  -  -  --  |
trick                   | >.t.r.e.k              | a5 003 - |  -  -  -  -  --  |
wreck                   | >.r.e.k                | a5 003 - |  -  -  -  -  --  |

and                     | >.nd                   | a5 003 w |  -  -  -  -  --  |
be                      | >.b                    | a5 003 w |  -  -  -  -  --  |
being                   | >.b.>                  | a5 003 w |  -  -  -  -  --  |
but                     | >.b                    | a5 003 w |  -  -  -  -  --  |
by                      | >.b                    | a5 003 w |  -  -  -  -  --  |
desire                  | >.d.z                  | a5 003 w |  -  -  -  -  --  |
end                     | >.nd                   | a5 003 w |  -  -  -  -  --  |
ended                   | >.nd.d                 | a5 003 w |  -  -  -  -  --  |
ending                  | >.nd.>                 | a5 003 w |  -  -  -  -  --  |
great                   | >.g.r                  | a5 003 w |  -  -  -  -  --  |
hand                    | >.>.nd                 | a5 003 w |  -  -  -  -  --  |
handle                  | >.>.nd.l               | a5 003 w |  -  -  -  -  --  |
handlng                 | >.>.nd.l.>             | a5 003 w |  -  -  -  -  --  |
handles                 | >.>.nd.l.s             | a5 003 w |  -  -  -  -  --  |
handy                   | >.>.nd.e               | a5 003 w |  -  -  -  -  --  |
his                     | >.s                    | a5 003 w |  -  -  -  -  --  |
is                      | >.s                    | a5 003 w |  -  -  -  -  --  |
market                  | >.m.r                  | a5 003 w |  -  -  -  -  --  |
mr                      | >.m.r                  | a5 003 w |  -  -  -  -  --  |
mrs                     | >.m.r.z                | a5 003 w |  -  -  -  -  --  |
of                      | >.o                    | a5 003 w |  -  -  -  -  --  |
